City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,swakopmund,-22.6833,14.5333,16.47,34,0,6.73,NA,1688958093
136,arlington heights,42.0884,-87.9806,22.33,67,0,2.53,US,1688958093
137,cockburn town,21.4612,-71.1419,28.5,84,55,9.08,TC,1688958094
138,raja,8.4596,25.678,20.8,89,85,1.34,SS,1688958094
139,kivioli,59.3531,26.9711,11.98,76,27,1.34,EE,1688958094
140,merizo village,13.2658,144.6691,29.85,82,100,8.32,GU,1688958094
141,ambovombe,-25.1667,46.0833,19.72,73,76,1.7,MG,1688958094
142,hasaki,35.7333,140.8333,37.38,74,9,6.27,JP,1688958095
143,mugia,43.1041,-9.2179,13.28,81,0,2.59,ES,1688958095
144,port lincoln,-34.7333,135.8667,16.22,61,30,8.86,AU,1688958095
145,lazaro cardenas,17.9583,-102.2,27.9,80,85,3.37,MX,1688957878
146,longyearbyen,78.2186,15.6401,6.91,70,75,3.6,SJ,1688958096
147,bukama,-9.2,25.85,18.83,53,0,1.89,CD,1688958097
148,zhob,31.3411,69.4481,25.78,54,0,2.18,PK,1688958097
149,ariquemes,-9.9133,-63.0408,23.72,62,0,0.57,BR,1688958097
150,pangody,65.85,74.4859,11.48,79,100,0.72,RU,1688958097
151,avarua,-21.2078,-159.775,27.03,83,0,4.63,CK,1688958098
152,zadar,44.1197,15.2422,18.34,94,0,2.06,HR,1688958098
153,tabou,4.423,-7.3528,24.7,88,100,3.91,CI,1688958098
154,daru,-9.0763,143.2092,26.01,79,100,7.67,PG,1688958098
155,ma'rib,15.4591,45.3253,29.93,23,100,2.48,YE,1688958099
156,uyar,55.81,94.3153,18.62,80,89,4.81,RU,1688958099
157,fale old settlement,-9.3852,-171.2468,28.27,79,100,7.19,TK,1688958099
158,tazovsky,67.4667,78.7,8.19,66,90,5.09,RU,1688958100
159,holualoa,19.6228,-155.9522,24.88,75,100,0.45,US,1688958100
160,itoman,26.1247,127.6694,32.21,74,40,4.12,JP,1688958100
161,nuuk,64.1835,-51.7216,11.34,76,75,3.09,GL,1688958100
162,kampong thom,12.7111,104.8887,31.09,59,83,3.48,KH,1688958101
163,ayorou,14.7308,0.9174,30.43,51,80,2.36,NE,1688958101
164,zhanibek,49.4167,46.85,26.93,47,80,0.97,KZ,1688958101
165,hadibu,12.65,54.0333,25.18,80,63,8.97,YE,1688958101
166,bahraigh,27.5833,81.6,33.17,56,39,6.25,IN,1688958102
167,tymovskoye,50.8456,142.655,25.46,47,22,1.96,RU,1688958102
168,leava,-14.3,-178.1667,26.98,73,80,7.94,WF,1688958102
169,tofol,5.3248,163.0078,31.88,66,75,1.54,FM,1688958102
170,igarka,67.4667,86.5833,12.47,64,100,4.98,RU,1688958102
171,constantia,44.1833,28.65,19.38,58,1,5.31,RO,1688958103
172,ellsworth,44.5434,-68.4195,21.08,95,20,0.0,US,1688958103
173,port elizabeth,-33.918,25.5701,10.73,92,20,2.57,ZA,1688958103
174,severnoye,56.3491,78.3619,21.7,52,41,2.12,RU,1688958103
175,mermoz boabab,14.7065,-17.4758,26.31,77,6,5.83,SN,1688958104
176,beyneu,45.3167,55.2,31.36,23,42,7.76,KZ,1688958104
177,trairi,-3.2778,-39.2689,25.11,82,10,3.96,BR,1688958104
178,vila franca do campo,37.7167,-25.4333,20.23,92,80,2.41,PT,1688958105
179,haiku-pauwela,20.9219,-156.3051,25.14,70,61,5.36,US,1688958105
180,zabol,32.25,67.25,24.56,11,0,0.61,AF,1688958105
181,rzhev,56.2624,34.3282,10.91,93,14,3.51,RU,1688958105
182,beberibe,-4.1797,-38.1306,25.07,84,7,4.84,BR,1688958106
183,tortosa,40.8125,0.5216,22.91,92,0,0.87,ES,1688957918
184,puerto ayora,-0.7393,-90.3518,24.75,96,100,3.13,EC,1688958106
185,nikolayevsk-on-amure,53.1406,140.73,23.47,32,1,3.51,RU,1688958106
186,mobaye,4.319,21.1786,20.45,95,66,0.45,CF,1688958107
187,inari,68.906,27.0288,8.11,60,6,0.86,FI,1688958107
188,kingston,17.997,-76.7936,29.53,77,20,6.17,JM,1688957843
189,kavieng,-2.5744,150.7967,27.58,77,83,1.77,PG,1688958107
190,oranjemund,-28.55,16.4333,11.04,62,0,5.69,NA,1688958108
191,bontang,0.1333,117.5,27.04,83,100,1.49,ID,1688958108
192,les cayes,18.2,-73.75,26.75,81,63,1.42,HT,1688958108
